date,city,cid,industry,platform,number,amount
202311,臺中市,B,橡膠製品製造業,無載具,181,110567223
202311,宜蘭縣,G,農、牧業,使用載具,474,367093
202301,臺北市,A,住宿業,無載具,280296,1504120883
202301,臺南市,D,零售業,無載具,20436354,9498893691
202311,臺北市,A,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,1149,1826539
202311,臺東縣,V,運輸輔助業,無載具,27505,1155293
202311,苗栗縣,K,廣播、電視節目編排及傳播業,使用載具,38995,45339337
202311,彰化縣,N,資訊服務業,使用載具,77,11550
202301,新竹縣,J,石油及煤製品製造業,無載具,69222,29756338
202301,基隆市,C,污染整治業,無載具,21,145499
202311,臺中市,B,用水供應業,使用載具,498210,212790678
202311,宜蘭縣,G,郵政及快遞業,無載具,4770,3257548
202301,金門縣,W,郵政及快遞業,使用載具,2770,586878
202301,臺南市,D,非金屬礦物製品製造業,無載具,150,45314743
202311,臺北市,A,住宿業,使用載具,63872,216139525
202301,臺南市,D,其他化學製品製造業,無載具,1815,17851582
202311,澎湖縣,X,未分類其他服務業,使用載具,145,363012
202311,連江縣,Z,飲料製造業,無載具,200,353140
202502,桃園市,H,宗教、職業及類似組織,無載具,14,9010
202502,嘉義市,I,專門營造業,無載具,449,2779195
202304,新竹市,O,非金屬礦物製品製造業,無載具,234,2112671
202502,臺中市,B,電腦程式設計、諮詢及相關服務業,使用載具,20075,25391587
202304,臺中市,B,影片及電視節目業；聲音錄製及音樂發行業,使用載具,46777,10632713
202502,苗栗縣,K,印刷及資料儲存媒體複製業,使用載具,14,52708
202502,臺中市,B,資訊服務業,使用載具,86997,137568087
202304,新竹市,O,其他專業、科學及技術服務業,使用載具,307,2291424
202502,宜蘭縣,G,郵政及快遞業,無載具,4239,2226433
202304,臺南市,D,個人及家庭用品維修業,無載具,35303,66325395
202304,新北市,F,建築工程業,無載具,317,125441817
202502,嘉義市,I,倉儲業,使用載具,14,6065
202502,高雄市,E,住宿業,無載具,116912,389209301
202502,新竹市,O,金融服務業,使用載具,374,183139
202502,新竹縣,J,個人及家庭用品維修業,無載具,9087,110498508
202502,嘉義縣,Q,藥品及醫用化學製品製造業,無載具,5,373212
202502,彰化縣,N,紡織業,無載具,1989,29879114
202502,苗栗縣,K,其他社會工作服務業,無載具,260,261587
202502,高雄市,E,專門營造業,無載具,2870,373436453
202502,高雄市,E,紡織業,使用載具,557,1496149
202502,新北市,F,醫療保健業,使用載具,5911,28613313
202304,嘉義縣,Q,其他製造業,使用載具,162,105068
202502,屏東縣,T,電力及燃氣供應業,使用載具,346190,509225581
202304,新北市,F,木竹製品製造業,無載具,1009,18436069
202304,嘉義縣,Q,非金屬礦物製品製造業,無載具,47,4658919
202502,臺南市,D,倉儲業,使用載具,158,35140
202502,彰化縣,N,紙漿、紙及紙製品製造業,無載具,962,18785615
202502,苗栗縣,K,未分類其他服務業,無載具,2393,18079748
202304,澎湖縣,X,批發業,使用載具,4558,3180337
202502,臺中市,B,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,26,36600
202502,新竹市,O,用水供應業,使用載具,96387,36431143
202502,苗栗縣,K,農、牧業,使用載具,2579,2046467
202304,桃園市,H,塑膠製品製造業,無載具,1163,37989599
202304,高雄市,E,其他製造業,無載具,608,126254689
202304,新北市,F,電腦、電子產品及光學製品製造業,使用載具,6437,36499808
202304,新竹縣,J,非金屬礦物製品製造業,無載具,355,1896397
202304,屏東縣,T,不動產開發業,無載具,710,355736
202502,臺東縣,V,郵政及快遞業,無載具,4464,3989249
202502,桃園市,H,土木工程業,無載具,2208,86852798
202502,嘉義縣,Q,陸上運輸業,使用載具,3486,2850087
202304,苗栗縣,K,專門營造業,使用載具,34,56940
202502,新竹市,O,企業總管理機構及管理顧問業,無載具,1216,7465666
202502,澎湖縣,X,電力設備及配備製造業,使用載具,72,28426
202502,臺中市,B,不動產經營及相關服務業,無載具,125087,1340411173
202304,新竹縣,J,飲料製造業,無載具,22,30680
202304,花蓮縣,U,不動產開發業,使用載具,65,2006831
202304,桃園市,H,運動、娛樂及休閒服務業,使用載具,116636,117689395
202502,臺東縣,V,教育業,使用載具,182,140576
202502,臺東縣,V,陸上運輸業,無載具,3482,1820550
202304,嘉義市,I,農、牧業,使用載具,2,2882
202304,新竹縣,J,陸上運輸業,使用載具,1779,590566
202502,雲林縣,P,非金屬礦物製品製造業,無載具,29,1616394
202502,彰化縣,N,宗教、職業及類似組織,無載具,5877,4850965
