date,city,cid,industry,platform,number,amount
202502,澎湖縣,X,食品及飼品製造業,使用載具,1525,1462250
202304,雲林縣,P,教育業,使用載具,189,2166441
202502,苗栗縣,K,污染整治業,無載具,3,26025
202502,苗栗縣,K,廣告業及市場研究業,無載具,58,81859
202502,澎湖縣,X,保險業,無載具,2,9534
202304,桃園市,H,建築、工程服務及技術檢測、分析服務業,無載具,162,3032228
202304,嘉義市,I,電力及燃氣供應業,使用載具,13979,10333872
202304,新北市,F,皮革、毛皮及其製品製造業,無載具,566,2370107
202502,嘉義縣,Q,個人及家庭用品維修業,無載具,376,2629003
202502,南投縣,M,專門營造業,使用載具,855,30970
202304,苗栗縣,K,住宿業,使用載具,1111,4546654
